 1. y-2work.ru                7/10 done
    [V] Настроить Яндекс Директ API  (Интеграции)
    [V] Подключить Яндекс Метрику  (Интеграции)
    [V] Подключить Яндекс Вебмастер  (Интеграции)
    [~] Подключить VK Реклама  (Интеграции)
    [V] Настроить автосинхронизацию  (Система)
    [V] Задеплоить фронтенд на Vercel  (Деплой)
    [V] Задеплоить бэкенд на Render  (Деплой)
    [V] Система чек-листов по проектам  (Фичи)
    [~] AI-аналитика (Claude)  (Фичи)
    [ ] Шифрование credentials в БД  (Безопасность)

 2. Падел Центр               1/5 done
    [V] Настроить Яндекс Метрику  (Аналитика)
    [~] Семейный день 11 апреля  (Мероприятия)
    [~] Запустить рекламу VK  (Реклама)
    [ ] Настроить ретаргетинг  (Реклама)
    [ ] Анализ ключевых слов  (SEO)

 3. ПКР Партнер               2/6 done
    [V] Кампании Директ синхронизированы  (Реклама)
    [ ] Подключить Яндекс Метрику  (Аналитика)
    [ ] Настроить UTM-метки  (Аналитика)
    [V] Подключить Вебмастер  (SEO)
    [ ] Анализ поисковых запросов  (SEO)
    [ ] Мониторинг эффективности кампаний  (Аналитика)

 4. Лента Работа              2/6 done
    [V] Подключить Яндекс Метрику  (Аналитика)
    [V] Подключить Вебмастер  (SEO)
    [ ] Анализ поисковых запросов  (SEO)
    [ ] Настроить рекламные кампании Директ  (Реклама)
    [ ] Настроить UTM-метки  (Аналитика)
    [ ] Создать лендинг  (Сайт)

 5. Мир Кадров                2/5 done
    [V] Подключить Яндекс Метрику  (Аналитика)
    [V] Подключить Вебмастер  (SEO)
    [ ] Анализ поисковых запросов  (SEO)
    [ ] Запустить рекламу Директ  (Реклама)
    [ ] Настроить UTM-метки  (Аналитика)

 6. ПКР Лента                 1/4 done
    [V] Подключить Яндекс Метрику  (Аналитика)
    [ ] Запустить кампании Директ  (Реклама)
    [ ] Настроить UTM-метки  (Аналитика)
    [ ] Связать с проектом y-prk.ru (#10)  (Система)

 7. ПКР Самокат               3/6 done
    [V] Кампании Директ синхронизированы  (Реклама)
    [V] Подключить Яндекс Метрику  (Аналитика)
    [V] Подключить Вебмастер  (SEO)
    [ ] Настроить UTM-метки  (Аналитика)
    [ ] Мониторинг эффективности  (Аналитика)
    [ ] Анализ поисковых запросов  (SEO)

 8. Туворк Самокат            2/4 done
    [V] Кампании Директ синхронизированы  (Реклама)
    [V] Подключить Яндекс Метрику  (Аналитика)
    [ ] Настроить UTM-метки  (Аналитика)
    [ ] Анализ эффективности кампаний  (Аналитика)

 9. 2work Partner             1/3 done
    [V] Подключить Вебмастер  (SEO)
    [ ] Связать с Туворк Самокат (#8)  (Система)
    [ ] Настроить UTM-метки  (Аналитика)

10. y-prk.ru                  1/2 done
    [V] Подключить Вебмастер  (SEO)
    [ ] Связать с ПКР Лента (#6)  (Система)

