,,,,,,,,,,,,,,,,,,,,,
, сайт padelvidnoe.ru,,,,,,,,,,,,,,,,,,,,
,статистика по просмотрам  27.03-2.04.2026,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"лидогенерация: количество заявок и звонков, поступивших через сайт",31.10.25-6.11.25,7-13.11.25,14-20.11.25,21-27.11.25,28.11-4.12.25,5-11.12.25,12-18.12.25,19-25.12.26,26.12-15.01.26,16-22.01.2026,23-29.01.2026,30.01-5.02.2026,6-12.02.2026,13-19.02.2026,20-26.02.2026,27.02-5.03.2026,12.03.2026,13-19.03.26,20-26.03.26,27.03-2.04.26
,,35,56,60,57,46,48,54,45,155,62,70,55,56,62,42,29,41,39,56,53
,,,,,,,,,,,,,,,,,,,,,
,переходы в ТГ канал ,,7-13.11.25,14-20.11.25,21-27.11.25,28.11-4.12.25,5-11.12.25,12-18.12.25,19-25.12.26,26.12-15.01.26,16-22.01.2026,23-29.01.2026,30.01-5.02.2026,6-12.02.2026,13-19.02.2026,20-26.02.2026,27.02-5.03.2026,12.03.2026,13-19.03.26,20-26.03.26,27.03-2.04.26
,,,89,123,67,78,92,77,111,1185,118,132,121,114,101,86,97,60,91,60,63
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,https://t.me/padelvidnoe,,,,,,,,,,,,,,,,,,,,
,количество подписчиков ,на 10.11.25,11/13/2025,11/20/2025,11/27/2025,12/4/2025,11.12.2025,18.12.2025,25.12.2025,15.01.2026,22.01.2026,29.01.2026,05.02.2026,12.02.2026,19.02.2026,26.02.2026,05.03.2026,12.03.2026,12.03.2026,26.03.2026,02.04.2026
,,229,390,514,534,565,582,580,601,711,726,768,786,811,827,831,844,850,851,867,870
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,что делаем: ,,,,,,,,,,,,,,,,,,,,
,"проработка контента и рубрик с правилами, тренерами, живые видео с игроками  ",,,,,,,,,,,,,,,,,,,,
,подготовка контент-плана,,,,,,,,,,,,,,,,,,,,
