03-09.04.26,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
27.03-2.04.26,,,
"Аудит карточек клуба на картах (Яндекс Карты, 2ГИС, Google Maps)","1. Проверка и обновление описаний — переписать тексты 2. Замена фотографий на качественные 3. Проверка актуальности контактов, часов работы, адреса",,
Работа с блогерами (бартер),1. 2 апреля — проведена тренировка для блогера из Видного (3 000+ подписчиков)                                                                                                   2. Проведено 4 бесплатные тренировки в рамках бартера Блогер готовит пост о клубе,,
Подготовка семейных дней для ЖК «Дивное» и «Зелёные аллеи»,1. Идёт процесс выхода на ЛПР для согласования оффера                                      2. Формат аналогичен Семейному дню ЖК Суханово,,
Семейный день ЖК Суханово Парк, 11 апреля — бесплатные мастер-классы для детей и взрослых для жителей ЖК Суханово Парк,,
Акции для клиентов, 30–31 марта — акция «Играй в любое время» — 2000₽/час без ограничений по времени суток 2. С 1 апреля — запущена акция «Приведи друга» — 1000 бонусов на депозит после первого визита нового клиента 3. До 8 апреля — акция знакомство с новым тренером: индивидуалка и сплит по спец. цене 5000₽,,
,,,
,,,
,,,
,,,
,,,
,,,
6-12.03.26,,,
привлечение партнеров на детский турнир для подарков,,,
Участие в программах лояльности: поиск программ+ условия ,"1. бонусная программа лояльности  от Газпром: ждем ответ от газпрома                                                                                                     2.https://primezone.ru/ru/ - оффер запущен 
 ",,
,,,
27.02-5.03.26,,,
1.Участие в программах лояльности: поиск программ+ условия ,"1. бонусная программа лояльности  от Газпром: оффер на проверке у Газпром                                                                                                      2.https://primezone.ru/ru/ - оффер запущен 
 ",,
,,,
,,,
20-26.02.26,,,
1.Участие в программах лояльности: поиск программ+ условия ,"1. бонусная программа лояльности  от Газпром: оффер на проверке у Газпром                                                                                                      2.https://primezone.ru/ru/ - оффер запущен 
 ",,
2. сотрудничество с Видновскими вестями,"Приняли участие в проекте Видновских вестей, поддержав детский конкурс, наградили сертификатами победителей, приняв участие в награждении",,
,,,
13-19.02.26,,,
1. Партнеры,Привлечен подарочный партнер сеть салонов Черная кость https://t.me/chernayakost,,
2.Участие в программах лояльности: поиск программ+ условия ,"1. бонусная программа лояльности  от Газпром: оффер на проверке у Газпром                                                                                                      2.https://primezone.ru/ru/ - запущено размещение и рассылка на Прайм и макет утвержден
3.Социальный маркетплейс BRICS Charity Клумба: оффер запущен ",,
,,,
,,,
,,,
6-12.02.26,,,
1. Блогеры,"Достигнуты договоренности о долгосрочном сотрудничестве с блогером https://t.me/irenasplanet (прошлая интгерация хорошо сработала, принято решение выдать 4 занятия на групповые треннировки, за посты и сторис)",,
2. Партнеры," https://palmira-garden.com/ : к 14 февраля  согласовано 3 парных сертификата (также обсуждаем детали корпортивного сотрудничества), https://t.me/Mejdy_namii : к 14 февраля 6 сертификатов на 3000 рублей для победителей и 11 мини гелей, https://protennisbyalice.com/  -  20 подарочных сертификатов к 14. февраля, обмен контентом в соц.сетях , https://t.me/sammeryoga  - 30 сертификатов на 1 занятие к 14 февраля ",,
3.Участие в программах лояльности: поиск программ+ условия ,"1. бонусная программа лояльности  от Газпром: оффер на проверке у Газпром                                                                                                      2.https://primezone.ru/ru/ - получено соглашение от Прайм и макет для согласования
3.Социальный маркетплейс BRICS Charity Клумба: оффер находится  на модерации на патформе ",,
4. Посты,"Подготовлен нативный пост для размещения в чатах жителей жк  ""Зеленые аллеи""",,
,,,
,,,
,,,
29.01-5.02.26,,,
1. Проработка блогеров,"Вышел обзор у блогера https://www.instagram.com/reel/DUSYyZkiIkc/?igsh=dHB6MmphaGJ3Njdl (охват, 7 632K)",,
2. Партнеры," https://palmira-garden.com/ : готовы к сотрудничеству (подарочной партнерство , корпортивное сотрудничество), https://t.me/Mejdy_namii : подарочное партнерство , совместный контенты и обмен промо материала, https://protennisbyalice.com/  - подарочные сертификаты, обмен контентом в соц.сетях ",,
3.Участие в программах лояльности: поиск программ+ условия ,"1. бонусная программа лояльности  от Газпром: отправлен оффер на согласование                                                                                                       2.https://primezone.ru/ru/ -отправлен оффер на согласование
3.Социальный маркетплейс BRICS Charity Клумба: отправлен оффер на согласование",,
